item,frequency,support_percent,total_utility,utility_percent,category,rank_by_frequency,rank_by_utility,rank_difference
DOTCOM POSTAGE,706,3.9176516286554572,206248.77,2.285248696158289,Hidden Gems,68,1,67
"PAPER CRAFT , LITTLE BIRDIE",1,0.005549081626990733,168469.6,1.8666532350341214,Hidden Gems,3920,2,3918
REGENCY CAKESTAND 3 TIER,1685,9.350202541479385,142273.29,1.5763965548529095,Stars,3,3,0
WHITE HANGING HEART T-LIGHT HOLDER,2162,11.997114477553964,100497.72,1.113520742920701,Stars,1,4,-3
PARTY BUNTING,1593,8.839687031796238,93658.53,1.0377421090394963,Stars,4,5,-1
JUMBO BAG RED RETROSPOT,1935,10.737472948227069,86471.34,0.9581076143632763,Stars,2,6,-4
MEDIUM CERAMIC TOP STORAGE JAR,225,1.2485433660729148,80575.63,0.8927827952604649,Hidden Gems,620,7,613
PAPER CHAIN KIT 50'S CHRISTMAS ,1125,6.242716830364574,62742.54,0.695191092430075,Hidden Gems,15,8,7
ASSORTED COLOUR BIRD ORNAMENT,1371,7.607790910604296,54756.79,0.6067085052352711,Stars,6,9,-3
CHILLI LIGHTS,650,3.6069030575439767,53336.56,0.5909722719683047,Hidden Gems,89,10,79
PICNIC BASKET WICKER 60 PIECES,2,0.011098163253981465,39619.5,0.4389864274945413,Others,3762,11,3751
BLACK RECORD COVER FRAME,357,1.9810221408356916,39442.17,0.43702160049804695,Others,303,12,291
JUMBO BAG PINK POLKADOT,1159,6.431385605682259,38571.4,0.4273734168644973,Others,11,13,-2
RABBIT NIGHT LIGHT,833,4.62238499528328,38087.95,0.4220167619755603,Others,44,14,30
SPOTTY BUNTING,1040,5.771044892070362,37098.83,0.4110572532699129,Others,18,15,3
DOORMAT KEEP CALM AND COME IN,696,3.86216081238555,37070.59,0.4107443523824093,Others,73,16,57
Manual,257,1.4261139781366183,35292.7,0.39104522494318694,Others,514,17,497
WOOD BLACK BOARD ANT WHITE FINISH,654,3.629099384051939,35123.97,0.3891756864605925,Others,88,18,70
POPCORN HOLDER,747,4.1451639753620775,32709.32,0.362421220171273,Others,61,19,42
VICTORIAN GLASS HANGING T-LIGHT,1002,5.560179790244715,32321.57,0.3581249270009652,Others,24,20,4
HOT WATER BOTTLE TEA AND SYMPATHY,618,3.429332445480273,32199.09,0.35676784128207595,Others,100,21,79
HEART OF WICKER SMALL,1164,6.459131013817214,31394.5,0.3478529360031645,Volume Drivers,10,22,-12
JUMBO BAG STRAWBERRY,789,4.378225403695688,30962.81,0.3430697850071873,Others,53,23,30
PAPER CHAIN KIT VINTAGE CHRISTMAS,800,4.439265301592586,30924.440000000002,0.34264464311435766,Others,52,24,28
CHOCOLATE HOT WATER BOTTLE,820,4.5502469341324,30728.38,0.3404722865986374,Others,45,25,20
SET OF 3 CAKE TINS PANTRY DESIGN ,1241,6.886410299095499,29962.99,0.3319917196621529,Volume Drivers,7,26,-19
HEART OF WICKER LARGE,914,5.071860607069531,29929.960000000003,0.33162574528841915,Others,32,27,5
JUMBO STORAGE BAG SUKI,1130,6.270462238499529,29420.43,0.3259801224410512,Others,13,28,-15
JAM MAKING SET WITH JARS,999,5.543532545363742,29090.63,0.3223259187335915,Others,26,29,-3
LUNCH BAG RED RETROSPOT,1392,7.7243216247711,29007.71,0.32140716017864135,Volume Drivers,5,30,-25
HOT WATER BOTTLE KEEP CALM,755,4.1895566283780035,27866.2,0.3087591611668089,Others,57,31,26
CHARLOTTE BAG SUKI DESIGN,804,4.461461628100549,27707.6,0.3070018636895406,Others,51,32,19
JUMBO SHOPPER VINTAGE RED PAISLEY,1133,6.2871094833805,27153.59,0.30086339978423504,Others,12,33,-21
NATURAL SLATE HEART CHALKBOARD ,1219,6.764330503301704,27108.160000000003,0.30036003266952954,Volume Drivers,8,34,-26
JUMBO  BAG BAROQUE BLACK WHITE,910,5.049664280561568,26864.0,0.2976547252795557,Others,33,35,-2
JUMBO BAG APPLES,885,4.910937239886799,26469.670000000002,0.2932855253160549,Others,36,36,0
ALARM CLOCK BAKELIKE RED ,930,5.160645913101382,26426.87,0.292811298758507,Others,30,37,-7
JUMBO BAG ALPHABET,848,4.705621219688141,25441.91,0.28189788310144365,Others,42,38,4
ROTATING SILVER ANGELS T-LIGHT HLDR,428,2.3750069363520336,25439.18,0.2818676345383103,Others,210,39,171
GIN + TONIC DIET METAL SIGN,731,4.056378669330226,24987.33,0.27686110953765636,Others,64,40,24
ROSES REGENCY TEACUP AND SAUCER ,956,5.304922035403141,24390.52,0.27024841907480307,Others,27,41,-14
ALARM CLOCK BAKELIKE GREEN,876,4.860995505243882,24218.28,0.26833998958246563,Others,37,42,-5
DOORMAT UNION FLAG,580,3.2184673436546256,24114.85,0.26719397900192426,Others,115,43,72
VINTAGE UNION JACK BUNTING,464,2.5747738749237,24058.33,0.26656773402452705,Others,177,44,133
DOORMAT RED RETROSPOT,623,3.4570778536152265,23998.94,0.26590968927563063,Others,97,45,52
PLEASE ONE PERSON METAL SIGN,815,4.5225015259974475,23534.08,0.26075901269755386,Others,48,46,2
