item,utility,twu,utility_percent,frequency,frequency_percent,support,category
DOTCOM POSTAGE,206248.77000000008,1286932.6700000002,2.285248696158297,706,3.9176516286554572,0.03917651628655457,Stars (High Utility + High Freq)
"PAPER CRAFT , LITTLE BIRDIE",168469.6,168469.6,1.8666532350341274,1,0.005549081626990733,5.549081626990733e-05,"Hidden Gems (High Utility, Low Freq)"
REGENCY CAKESTAND 3 TIER,142273.29000000012,1767793.501,1.5763965548529157,1685,9.350202541479385,0.09350202541479385,Stars (High Utility + High Freq)
WHITE HANGING HEART T-LIGHT HOLDER,100497.71999999863,1814777.9099999978,1.1135207429206893,2162,11.997114477553964,0.11997114477553965,Stars (High Utility + High Freq)
PARTY BUNTING,93658.53000000038,1398476.0099999984,1.0377421090395036,1593,8.839687031796238,0.08839687031796238,Stars (High Utility + High Freq)
JUMBO BAG RED RETROSPOT,86471.34000000164,1918556.0399999977,0.9581076143632974,1935,10.737472948227069,0.10737472948227068,Stars (High Utility + High Freq)
MEDIUM CERAMIC TOP STORAGE JAR,80575.63000000009,392325.9600000002,0.8927827952604686,225,1.2485433660729148,0.012485433660729149,Stars (High Utility + High Freq)
PAPER CHAIN KIT 50'S CHRISTMAS ,62742.539999999935,1396261.029999999,0.6951910924300765,1125,6.242716830364574,0.062427168303645746,Stars (High Utility + High Freq)
ASSORTED COLOUR BIRD ORNAMENT,54756.78999999967,859511.270999999,0.6067085052352694,1371,7.607790910604296,0.07607790910604295,Stars (High Utility + High Freq)
CHILLI LIGHTS,53336.55999999997,904518.8399999992,0.5909722719683063,650,3.6069030575439767,0.03606903057543977,Stars (High Utility + High Freq)
PICNIC BASKET WICKER 60 PIECES,39619.5,39619.5,0.4389864274945427,2,0.011098163253981465,0.00011098163253981466,"Hidden Gems (High Utility, Low Freq)"
BLACK RECORD COVER FRAME,39442.17000000003,488225.60000000027,0.4370216004980486,357,1.9810221408356916,0.019810221408356917,Stars (High Utility + High Freq)
JUMBO BAG PINK POLKADOT,38571.399999999994,1124086.3299999991,0.42737341686449853,1159,6.431385605682259,0.06431385605682259,Stars (High Utility + High Freq)
RABBIT NIGHT LIGHT,38087.94999999989,950074.8200000003,0.4220167619755604,833,4.62238499528328,0.0462238499528328,Stars (High Utility + High Freq)
SPOTTY BUNTING,37098.829999999994,876859.8899999986,0.41105725326991405,1040,5.771044892070362,0.05771044892070362,Stars (High Utility + High Freq)
DOORMAT KEEP CALM AND COME IN,37070.59,705961.4900000002,0.41074435238241064,696,3.86216081238555,0.038621608123855504,Stars (High Utility + High Freq)
Manual,35292.70000000001,136945.93999999994,0.39104522494318833,257,1.4261139781366183,0.014261139781366184,Stars (High Utility + High Freq)
WOOD BLACK BOARD ANT WHITE FINISH,35123.970000000205,681024.0410000007,0.38917568646059597,654,3.629099384051939,0.03629099384051939,Stars (High Utility + High Freq)
POPCORN HOLDER,32709.32000000004,1012101.4000000005,0.36242122017127454,747,4.1451639753620775,0.041451639753620775,Stars (High Utility + High Freq)
VICTORIAN GLASS HANGING T-LIGHT,32321.570000000083,1066543.1199999996,0.35812492700096726,1002,5.560179790244715,0.055601797902447146,Stars (High Utility + High Freq)
HOT WATER BOTTLE TEA AND SYMPATHY,32199.090000000026,962209.6600000007,0.35676784128207734,618,3.429332445480273,0.03429332445480273,Stars (High Utility + High Freq)
HEART OF WICKER SMALL,31394.499999999894,1214614.4399999997,0.34785293600316447,1164,6.459131013817214,0.06459131013817214,Stars (High Utility + High Freq)
JUMBO BAG STRAWBERRY,30962.809999999947,917861.8699999995,0.34306978500718777,789,4.378225403695688,0.04378225403695688,Stars (High Utility + High Freq)
PAPER CHAIN KIT VINTAGE CHRISTMAS,30924.440000000177,1123165.4809999994,0.34264464311436066,800,4.439265301592586,0.04439265301592586,Stars (High Utility + High Freq)
CHOCOLATE HOT WATER BOTTLE,30728.380000000067,955060.3400000014,0.34047228659863915,820,4.5502469341324,0.04550246934132401,Stars (High Utility + High Freq)
SET OF 3 CAKE TINS PANTRY DESIGN ,29962.990000000078,1265901.3399999996,0.33199171966215474,1241,6.886410299095499,0.068864102990955,Stars (High Utility + High Freq)
HEART OF WICKER LARGE,29929.960000000272,821326.6100000005,0.33162574528842315,914,5.071860607069531,0.0507186060706953,Stars (High Utility + High Freq)
JUMBO STORAGE BAG SUKI,29420.429999999913,1228994.339999998,0.32598012244105123,1130,6.270462238499529,0.06270462238499529,Stars (High Utility + High Freq)
JAM MAKING SET WITH JARS,29090.630000000117,1340738.9299999988,0.3223259187335938,999,5.543532545363742,0.05543532545363742,Stars (High Utility + High Freq)
LUNCH BAG RED RETROSPOT,29007.710000000003,1407525.8399999992,0.32140716017864235,1392,7.7243216247711,0.07724321624771101,Stars (High Utility + High Freq)
HOT WATER BOTTLE KEEP CALM,27866.199999999946,760036.8900000004,0.3087591611668093,755,4.1895566283780035,0.041895566283780036,Stars (High Utility + High Freq)
CHARLOTTE BAG SUKI DESIGN,27707.59999999995,1181400.2899999982,0.30700186368954097,804,4.461461628100549,0.04461461628100549,Stars (High Utility + High Freq)
JUMBO SHOPPER VINTAGE RED PAISLEY,27153.58999999987,1213682.3199999998,0.30086339978423454,1133,6.2871094833805,0.062871094833805,Stars (High Utility + High Freq)
NATURAL SLATE HEART CHALKBOARD ,27108.160000000425,1261537.4000000008,0.30036003266953515,1219,6.764330503301704,0.06764330503301703,Stars (High Utility + High Freq)
JUMBO  BAG BAROQUE BLACK WHITE,26863.99999999991,1016596.6400000012,0.2976547252795556,910,5.049664280561568,0.05049664280561567,Stars (High Utility + High Freq)
JUMBO BAG APPLES,26469.66999999988,997137.3000000004,0.2932855253160544,885,4.910937239886799,0.049109372398867986,Stars (High Utility + High Freq)
ALARM CLOCK BAKELIKE RED ,26426.86999999997,1197549.0499999993,0.2928112987585076,930,5.160645913101382,0.05160645913101382,Stars (High Utility + High Freq)
JUMBO BAG ALPHABET,25441.909999999898,975924.8300000003,0.28189788310144337,848,4.705621219688141,0.047056212196881414,Stars (High Utility + High Freq)
