algorithm,min_support,n_itemsets,n_rules,runtime_sec,avg_itemset_length,avg_support,avg_confidence,avg_lift,success
Apriori,0.01,2120,2008,12.667421102523804,1.7622641509433963,0.01635822148792865,0.5252719857928446,14.655886995302124,True
FP-Growth,0.01,2120,2008,51.460954427719116,1.7622641509433963,0.01635822148792865,0.5252719857928446,14.655886995302124,True
Apriori,0.015,755,516,6.440160751342773,1.429139072847682,0.024440801404983368,0.49914879027506814,10.265240698737136,True
FP-Growth,0.015,755,516,14.48883318901062,1.429139072847682,0.024440801404983368,0.49914879027506814,10.265240698737136,True
Apriori,0.02,400,184,4.49656081199646,1.2625,0.03099689251428889,0.4947559009195083,8.969445927696544,True
FP-Growth,0.02,400,184,6.724050998687744,1.2625,0.03099689251428889,0.4947559009195083,8.969445927696544,True
Apriori,0.025,230,75,2.8739511966705322,1.182608695652174,0.03754219111519652,0.5358894366482195,9.126168009309426,True
FP-Growth,0.025,230,75,4.987748384475708,1.182608695652174,0.03754219111519652,0.5358894366482195,9.126168009309426,True
Apriori,0.03,145,21,2.788261890411377,1.0758620689655172,0.04361731236928564,0.5872021536939835,10.053049731386876,True
FP-Growth,0.03,145,21,3.3000664710998535,1.0758620689655172,0.04361731236928564,0.5872021536939835,10.053049731386876,True
