algorithm,min_support,min_confidence,min_lift,runtime_sec,n_itemsets,n_rules,avg_itemset_length,avg_confidence,avg_lift
Apriori,0.01,0.5,1.0,103.89178133010864,2156,1208,1.8000927643784788,0.6647929857532497,18.953144879828027
Apriori,0.01,0.5,1.1,103.86343431472778,2156,1208,1.8000927643784788,0.6647929857532497,18.953144879828027
Apriori,0.01,0.5,1.2,103.86243009567261,2156,1208,1.8000927643784788,0.6647929857532497,18.953144879828027
Apriori,0.01,0.6,1.0,104.19892525672913,2156,784,1.8000927643784788,0.7285827036035899,21.756904936686674
Apriori,0.01,0.6,1.1,103.86093163490295,2156,784,1.8000927643784788,0.7285827036035899,21.756904936686674
Apriori,0.01,0.6,1.2,103.85942387580872,2156,784,1.8000927643784788,0.7285827036035899,21.756904936686674
Apriori,0.01,0.7,1.0,103.86042404174805,2156,431,1.8000927643784788,0.7935597951773182,27.458225245798758
Apriori,0.01,0.7,1.1,103.88094878196716,2156,431,1.8000927643784788,0.7935597951773182,27.458225245798758
Apriori,0.01,0.7,1.2,103.87375378608704,2156,431,1.8000927643784788,0.7935597951773182,27.458225245798758
Apriori,0.02,0.5,1.0,2.0065178871154785,400,76,1.2625,0.6176020315021676,11.255082442042584
Apriori,0.02,0.5,1.1,2.0075180530548096,400,76,1.2625,0.6176020315021676,11.255082442042584
Apriori,0.02,0.5,1.2,2.0085196495056152,400,76,1.2625,0.6176020315021676,11.255082442042584
Apriori,0.02,0.6,1.0,2.009011745452881,400,35,1.2625,0.6957222943275231,12.528234928121892
Apriori,0.02,0.6,1.1,2.007519245147705,400,35,1.2625,0.6957222943275231,12.528234928121892
Apriori,0.02,0.6,1.2,2.0085196495056152,400,35,1.2625,0.6957222943275231,12.528234928121892
Apriori,0.02,0.7,1.0,2.0075197219848633,400,15,1.2625,0.7681198889781535,15.565822437119511
Apriori,0.02,0.7,1.1,2.0085203647613525,400,15,1.2625,0.7681198889781535,15.565822437119511
Apriori,0.02,0.7,1.2,2.007519006729126,400,15,1.2625,0.7681198889781535,15.565822437119511
Apriori,0.05,0.5,1.0,0.09293532371520996,34,0,1.0,0.0,0.0
Apriori,0.05,0.5,1.1,0.09207916259765625,34,0,1.0,0.0,0.0
Apriori,0.05,0.5,1.2,0.09208393096923828,34,0,1.0,0.0,0.0
Apriori,0.05,0.6,1.0,0.09208321571350098,34,0,1.0,0.0,0.0
Apriori,0.05,0.6,1.1,0.09108304977416992,34,0,1.0,0.0,0.0
Apriori,0.05,0.6,1.2,0.09108281135559082,34,0,1.0,0.0,0.0
Apriori,0.05,0.7,1.0,0.09208416938781738,34,0,1.0,0.0,0.0
Apriori,0.05,0.7,1.1,0.09208345413208008,34,0,1.0,0.0,0.0
Apriori,0.05,0.7,1.2,0.09208416938781738,34,0,1.0,0.0,0.0
Apriori,0.1,0.5,1.0,0.06906557083129883,2,0,1.0,0.0,0.0
Apriori,0.1,0.5,1.1,0.06906628608703613,2,0,1.0,0.0,0.0
Apriori,0.1,0.5,1.2,0.06906509399414062,2,0,1.0,0.0,0.0
Apriori,0.1,0.6,1.0,0.06906604766845703,2,0,1.0,0.0,0.0
Apriori,0.1,0.6,1.1,0.1290285587310791,2,0,1.0,0.0,0.0
Apriori,0.1,0.6,1.2,0.06906533241271973,2,0,1.0,0.0,0.0
Apriori,0.1,0.7,1.0,0.06806421279907227,2,0,1.0,0.0,0.0
Apriori,0.1,0.7,1.1,0.06906723976135254,2,0,1.0,0.0,0.0
Apriori,0.1,0.7,1.2,0.06906366348266602,2,0,1.0,0.0,0.0
FP-Growth,0.01,0.5,1.0,80.01891684532166,2156,1208,1.8000927643784788,0.6647929857532497,18.953144879828027
FP-Growth,0.01,0.5,1.1,80.01991963386536,2156,1208,1.8000927643784788,0.6647929857532497,18.953144879828027
FP-Growth,0.01,0.5,1.2,80.01891684532166,2156,1208,1.8000927643784788,0.6647929857532497,18.953144879828027
FP-Growth,0.01,0.6,1.0,80.01891732215881,2156,784,1.8000927643784788,0.7285827036035899,21.756904936686674
FP-Growth,0.01,0.6,1.1,80.01991772651672,2156,784,1.8000927643784788,0.7285827036035899,21.756904936686674
FP-Growth,0.01,0.6,1.2,80.0189163684845,2156,784,1.8000927643784788,0.7285827036035899,21.756904936686674
FP-Growth,0.01,0.7,1.0,80.01893329620361,2156,431,1.8000927643784788,0.7935597951773182,27.458225245798758
FP-Growth,0.01,0.7,1.1,80.01891660690308,2156,431,1.8000927643784788,0.7935597951773182,27.458225245798758
FP-Growth,0.01,0.7,1.2,80.01816630363464,2156,431,1.8000927643784788,0.7935597951773182,27.458225245798758
FP-Growth,0.02,0.5,1.0,9.277255535125732,400,76,1.2625,0.6176020315021676,11.255082442042584
FP-Growth,0.02,0.5,1.1,9.277252674102783,400,76,1.2625,0.6176020315021676,11.255082442042584
FP-Growth,0.02,0.5,1.2,9.277254104614258,400,76,1.2625,0.6176020315021676,11.255082442042584
FP-Growth,0.02,0.6,1.0,9.277254581451416,400,35,1.2625,0.6957222943275231,12.528234928121892
FP-Growth,0.02,0.6,1.1,9.2772536277771,400,35,1.2625,0.6957222943275231,12.528234928121892
FP-Growth,0.02,0.6,1.2,9.277253866195679,400,35,1.2625,0.6957222943275231,12.528234928121892
FP-Growth,0.02,0.7,1.0,9.276253461837769,400,15,1.2625,0.7681198889781535,15.565822437119511
FP-Growth,0.02,0.7,1.1,9.27625322341919,400,15,1.2625,0.7681198889781535,15.565822437119511
FP-Growth,0.02,0.7,1.2,9.276273965835571,400,15,1.2625,0.7681198889781535,15.565822437119511
FP-Growth,0.05,0.5,1.0,1.823378086090088,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.5,1.1,1.823378562927246,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.5,1.2,1.824378490447998,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.6,1.0,1.8243796825408936,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.6,1.1,1.8233776092529297,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.6,1.2,1.823378324508667,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.7,1.0,1.8243787288665771,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.7,1.1,1.823378324508667,34,0,1.0,0.0,0.0
FP-Growth,0.05,0.7,1.2,1.823378324508667,34,0,1.0,0.0,0.0
FP-Growth,0.1,0.5,1.0,1.6809544563293457,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.5,1.1,1.6810331344604492,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.5,1.2,1.68003249168396,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.6,1.0,1.6800315380096436,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.6,1.1,1.6810336112976074,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.6,1.2,1.6810555458068848,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.7,1.0,1.6800246238708496,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.7,1.1,1.6810338497161865,2,0,1.0,0.0,0.0
FP-Growth,0.1,0.7,1.2,1.6800274848937988,2,0,1.0,0.0,0.0
